rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
301,Universidade Estadual do Maranhão,"São Luís, Brazil",2.4,1.9,8.6,25.4,41.9,13.1,16.6,1.9,n/a
301,Universidade Luterana do Brasil,"Canoas, Brazil",14.3,41.8,3,5.1,n/a,5,11,11,n/a
301,Universidade Nove de Julho,"São Paulo, Brazil",1.7,25.5,3.1,6.9,30.4,10.6,17.1,18,n/a
301,Universidade Potiguar,"Natal, Brazil",n/a,57.7,7.5,1.9,40.2,n/a,4.1,2.6,n/a
301,Universidade Veiga de Almeida,"Rio de Janeiro, Brazil",n/a,99.3,7.8,8.7,10,2.2,5.7,3.2,n/a
301,Universidade Vila Velha,"Vila Velha, Brazil",n/a,50.4,45.1,10.1,39.4,10.7,7.5,n/a,n/a
301,Universidade do Vale do Itajaí,"Itajaí, Brazil",3.5,11.5,21.8,7.4,28.3,17.8,20.9,5.9,n/a
351,Universidade Anhembi Morumbi,"São Paulo, Brazil",7.4,2.4,3,7.6,n/a,2.4,7.6,14.6,n/a
351,Universidade Estadual do Rio Grande do Sul,"Bagé, Brazil",7.6,7.9,13.8,18.7,n/a,5.4,8.4,5.2,n/a
351,Universidade Positivo,"Curitiba, Brazil",2.7,23.2,17.6,6.2,n/a,7.2,8.8,4.8,n/a
351,Universidade Regional de Blumenau,"Blumenau, Brazil",2.1,17.2,11.7,37.4,n/a,16.7,19.2,3.7,n/a
351,Universidade Salvador,"Salvador, Brazil",n/a,35,7.4,2.4,20.5,2.3,12.4,2.2,n/a
351,Universidade do Estado de Minas Gerais,"Belo Horizonte, Brazil",11.7,1.8,3.6,30.1,n/a,4.5,6.8,9.9,n/a
351,Universidade do Vale do Paraíba,"São José, Brazil",1.8,34.5,17.1,17.5,n/a,11,11.7,2.6,n/a
401+,Centro Universitário Ritter dos Reis,"Porto Alegre, Brazil",2.4,n/a,n/a,3.1,n/a,n/a,4.2,4.3,n/a
401+,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,"Ijuí, Brazil",3.6,1,3.9,25,n/a,n/a,13.9,3.2,n/a
401+,Universidade de Taubaté,"Taubaté, Brazil",2.5,1.6,5.3,12.7,n/a,3.9,18.8,2.2,n/a
