rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
251,Universidade do Estado do Pará,"Belém, Brazil",n/a,52.2,n/a,27.9,54.2,n/a,n/a,n/a,n/a
251,Universidade Estadual de Goiás,"Goiânia, Brazil",n/a,n/a,n/a,n/a,85.1,n/a,44,n/a,n/a
251,Universidade Federal de Roraima,"Boa Vista, Brazil",n/a,n/a,n/a,67.7,71.4,n/a,n/a,n/a,n/a
251,Universidade Nove de Julho,"São Paulo, Brazil",n/a,59.9,n/a,29.4,n/a,n/a,n/a,n/a,n/a
251,Universidade Paulista,"São Paulo, Brazil",63.8,n/a,n/a,n/a,n/a,n/a,44.1,28.5,n/a
251,Universidade Positivo,"Curitiba, Brazil",27.9,42.9,n/a,36.1,n/a,n/a,n/a,n/a,n/a
251,Universidade Potiguar,"Natal, Brazil",16.8,99.6,n/a,48.7,n/a,n/a,n/a,n/a,n/a
301,Universidade Anhembi Morumbi,"São Paulo, Brazil",n/a,n/a,n/a,41.2,29.1,n/a,n/a,n/a,n/a
301,Universidade de Taubaté,"Taubaté, Brazil",26.3,n/a,n/a,64.1,n/a,n/a,n/a,n/a,n/a
301,Universidade do Estado de Minas Gerais,"Belo Horizonte, Brazil",n/a,n/a,n/a,25.1,n/a,n/a,n/a,n/a,n/a
301,Universidade Estadual do Maranhão,"São Luís, Brazil",n/a,n/a,n/a,50,33.8,n/a,n/a,n/a,n/a
301,Universidade Regional do Noroeste do Estado do Rio Grande do Sul,"Ijuí, Brazil",n/a,n/a,n/a,53.3,35.5,n/a,n/a,n/a,n/a
301,Universidade Salvador,"Salvador, Brazil",n/a,42.2,n/a,25.2,n/a,n/a,37.2,n/a,n/a
301,Universidade Santo Amaro,"São Paulo, Brazil",27.6,29.9,n/a,52.6,n/a,n/a,n/a,n/a,n/a
351,Senac São Paulo,"São Paulo, Brazil",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
351,Universidade Ibirapuera,"São Paulo, Brazil",n/a,n/a,n/a,67.4,n/a,n/a,n/a,n/a,n/a
